comment,behaviour,suggestion
          कोई तुम्हें यह पढ़ने के लिए मजबूर नहीं कर रहा     ,Dismissive,Reduce conflict calmly.
                                   बढ़िया काम!                                       ,Praise,Share praise respectfully.
                            क्या यह मज़ाक है?                                 ,Mockery,Ask questions neutrally.
             किसी को तुम्हारी राय की परवाह नहीं                ,Dismissive,Avoid dismissive language.
     यह सबसे बेवकूफी भरी चीज़ है जो मैंने पढ़ी         ,Extreme insult,Express disagreement constructively.
                       तुम्हें और लिखना चाहिए                            ,Suggestion,Encourage elaboration politely.
                                 बढ़िया काम!                                       ,Praise,Positive reinforcement.
                               हास्यास्पद पोस्ट                                  ,Insult,Avoid ridicule.
                          अच्छा योगदान!                                   ,Praise,Encourage participation.
                          यह जानकारीपूर्ण है                                ,Appreciation,Highlight informative content.
                  तुम्हारी टिप्पणी अप्रासंगिक है                    ,Criticism,Keep focus without hostility.
                      प्रतिक्रिया के लिए धन्यवाद!                       ,Polite response,Maintain polite interaction.
            क्या तुम्हें विषय की समझ भी है?                   ,Condescension,Avoid questioning intelligence.
"                             वाह, तुम कितने बेवकूफ हो                          ",Insult,Avoid insults.
                              किसे परवाह है?                                    ,Dismissive,Avoid dismissive phrasing.
                             तुम सबसे खराब हो                                  ,Personal attack,Avoid personal attacks.
                   तुम्हारी टिप्पणी अप्रासंगिक है                    ,Criticism,Keep relevance politely.
                            तुम्हें और लिखना चाहिए                            ,Suggestion,Encourage elaboration.
तुम सबसे खराब हो                                  ,Personal attack,Avoid targeting individuals.
                             किसे परवाह है?                                    ,Dismissive,Avoid dismissiveness.
                 तुम्हारी दलील का कोई मतलब नहीं                    ,Criticism,Ask for clarity calmly.
                 सिर्फ एक मूर्ख ही ऐसा कहेगा                       ,Insult,Avoid insulting language.
                                 यह कचरा है                                        ,Insult,Critique respectfully.
                                   बढ़िया काम!                                       ,Praise,Positive reinforcement.
                                   अपनी ज़िंदगी जियो                                 ,Harassment,Avoid personal remarks.
                           अच्छा योगदान!                                     ,Praise,Encourage constructive input.
                               हास्यास्पद पोस्ट                                  ,Insult,Avoid ridicule.
                        शानदार काम जारी रखो                               ,Praise,Encourage positive contribution.
                       यह एक शानदार विचार है!                            ,Praise,Support ideas constructively.
                              शानदार सामग्री!                                   ,Praise,Express appreciation.
                        यह जानकारीपूर्ण है                                ,Appreciation,Reinforce informative content.
                         हमारा समय बर्बाद करना बंद करो                     ,Hostile dismissal,Encourage relevance.
                             शानदार सामग्री!                                   ,Praise,Positive feedback.
"                             दफा हो जाओ, ट्रोल                                 ",Harassment,Address behavior calmly.
                 क्या तुम और विवरण दे सकते हो?                     ,Inquiry,Ask for clarification.
                             तुम एक मूर्ख हो                                   ,Insult,Avoid personal insults.
                           तुम सबसे खराब हो                                  ,Personal attack,Maintain respectful tone.
                          तुमने मेरा दिन बना दिया                          ,Appreciation,Share positive emotions.
                                   बहुत सही कहा!                                     ,Praise,Acknowledge clarity.
                           तुमने मेरा दिन बना दिया                           ,Appreciation,Positive engagement.
                         तुमने मेरा दिन बना दिया                           ,Appreciation,Share appreciation.
                         समय की पूरी बर्बादी                               ,Dismissive,Express dissatisfaction respectfully.
                तुम खुद को शर्मिंदा कर रहे हो                     ,Shaming,Avoid shaming language.
                                  बढ़िया काम!                                       ,Praise,Positive reinforcement.
                                 क्या मज़ाक है                                     ,Mockery,Avoid mocking tone.
                            तुम एक मूर्ख हो                                   ,Insult,Avoid insults.
            क्या तुम्हें विषय की समझ भी है?                   ,Condescension,Avoid questioning competence.
                 तुम ऐसा क्यों कहोगे?                              ,Confrontation,Ask questions constructively.
                वह सच में रचनात्मक था                             ,Appreciation,Encourage healthy discussion.
                             यह दयनीय है                                       ,Insult,Avoid demeaning language.
            यह वास्तव में काफ़ी समझदारी भरा है                ,Praise,Reinforce thoughtful content.
                         यह पोस्ट बेकार है                                 ,Dismissive,Express criticism politely.
             यह वास्तव में काफ़ी समझदारी भरा है                ,Praise,Encourage insight.
                         साझा करने के लिए धन्यवाद                          ,Polite appreciation,Maintain positive tone.
                       तुम्हें और लिखना चाहिए                            ,Suggestion,Encourage contribution.
           मैं भी यही सोच रहा था                             ,Validation,Show agreement constructively.
                                यह मुझे बहुत पसंद आया!                            ,Praise,Positive engagement.
                    यह सच में उपयोगी है                               ,Positive feedback,Reinforce usefulness.
                        बकवास पोस्ट करना बंद करो                          ,Hostile dismissal,Encourage respectful posting.
  मुझे विश्वास नहीं होता कि लोग अब भी ऐसा सोचते हैं ,Condescension,Express disagreement respectfully.
                         समय की पूरी बर्बादी            ,Dismissive,Share feedback calmly.
यह दयनीय है,Insult,Express disagreement without insults.
 किसे फर्क पड़ता है?,Dismissive,Share disinterest politely.
 तुम खुद को शर्मिंदा कर रहे हो,Shaming,"Focus on content, not the person."
 इसे पढ़कर मुझे अच्छा लगा,Appreciation,Positive feedback is fine.
 मैं तुम्हारे काम की सराहना करता हूँ,Praise,Appreciation encourages discussion.
 तुम एक मूर्ख हो,Insult,Avoid name-calling.
 तुम्हें इंटरनेट छोड़ देना चाहिए,Harassment,Suggest boundaries respectfully.
 किसी ने तुम्हारी राय नहीं मांगी,Dismissive,Avoid dismissive language.
 प्रतिक्रिया के लिए धन्यवाद!,Polite response,Neutral acknowledgement.
 साझा करने के लिए धन्यवाद,Appreciation,Polite response.
 यह वास्तव में उपयोगी है,Positive feedback,Encouraging feedback.
 किसी को तुम्हारी राय की परवाह नहीं है,Dismissive,"Critique ideas, not people."
 यह पोस्ट बेकार है,Dismissive,Give constructive criticism.
" वाह, तुम कितने बेवकूफ हो",Insult,Avoid personal attacks.
" धन्यवाद, यह सच में बहुत मददगार था",Appreciation,Positive reinforcement.
 ऐसा सिर्फ़ कोई बेवकूफ ही कहेगा,Insult,Disagree without insults.
 इसे पढ़ने के लिए तुम्हें कोई मजबूर नहीं कर रहा,Dismissive,De-escalate conflict.
 क्या मज़ाक है,Mockery,State opinion calmly.
 तुम अब भी ऑनलाइन क्यों हो?,Harassment,Avoid mocking.
 किसी ने तुम्हारी राय नहीं मांगी,Dismissive,Express disagreement respectfully.
 कृपया कुछ स्रोत प्रदान करें,Request,Ask politely for evidence.
 दिलचस्प दृष्टिकोण,Constructive,Neutral-positive engagement.
 दिलचस्प दृष्टिकोण,Constructive,Variation is fine.
" दफा हो जाओ, ट्रोल",Harassment,Avoid harassment.
 क्या यह मज़ाक है?,Mockery,Ask for clarification.
 बेतुकी पोस्ट,Insult,Avoid exaggeration.
 क्या तुम इसे और विस्तार से समझा सकते हो?,Inquiry,Constructive curiosity.
 किसे फर्क पड़ता है?,Dismissive,State disinterest politely.
 हमारा समय बर्बाद करना बंद करो,Hostile dismissal,Redirect discussion calmly.
 तुम्हें और लिखना चाहिए,Suggestion,Encourage elaboration.
 समझदार बनो,Condescension,De-escalate tone.
 बेतुकी पोस्ट,Insult,Constructive disagreement.
 किसी ने तुम्हारी राय नहीं मांगी,Dismissive,Avoid silencing language.
 किसी को तुम्हारी राय की परवाह नहीं है,Dismissive,Personalize disagreement.
 इसे पढ़कर मुझे अच्छा लगा,Appreciation,Positive comment.
 यह वास्तव में उपयोगी है,Positive feedback,Encouraging feedback.
 दिलचस्प दृष्टिकोण,Constructive,Neutral engagement.
 यह सच में काफ़ी सूझबूझ भरा है,Praise,Positive reinforcement.
 यह सबसे बेवकूफी भरी चीज़ है जो मैंने कभी पढ़ी है,Extreme insult,Avoid extreme insults.
 अच्छा योगदान!,Praise,Positive acknowledgment.
 तुम एक बेवकूफ हो,Insult,No personal attacks.
 ज़िंदगी बना लो,Harassment,Avoid harassment.
 व्याख्या की सराहना करता हूँ,Appreciation,Polite response.
 शानदार व्याख्या!,Praise,Positive feedback.
 तुम्हारी टिप्पणी अप्रासंगिक है,Criticism,Explain relevance calmly.
 कृपया कुछ स्रोत प्रदान करें,Request,Reasonable request.
 मुझे यक़ीन नहीं होता कि लोग अब भी ऐसा सोचते हैं,Condescension,Express surprise respectfully.
 यह पोस्ट बेकार है,Dismissive,Constructive wording.
 तुम्हें साफ़ तौर पर समझ नहीं है,Condescension,Avoid condescension.
 तुमने मेरा दिन बना दिया,Appreciation,Positive expression.
 बकवास पोस्ट करना बंद करो,Hostile dismissal,Set expectations politely.
 यह पोस्ट बेकार है,Dismissive,Constructive critique.
 ऐसा सिर्फ़ कोई बेवकूफ ही कहेगा,Insult,Avoid insults.
 यह बहुत मददगार है,Positive feedback,Positive feedback.
 समझदार बनो,Condescension,De-escalate.
 साझा करने के लिए धन्यवाद,Appreciation,Polite engagement.
 साझा करने के लिए धन्यवाद,Appreciation,Polite engagement.
 तुम्हें इंटरनेट छोड़ देना चाहिए,Harassment,Suggest respectfully.
 इस पोस्ट के लिए धन्यवाद,Appreciation,Positive engagement.
 किसी ने तुम्हारी राय नहीं मांगी,Dismissive,Respectful disagreement.
 यह बहुत सूझबूझ भरा है,Praise,Positive feedback.
 बेहतरीन बात,Praise,Encouragement.
 तुम सबसे बुरे हो,Personal attack,Avoid personal attacks.
 शानदार!,Praise,Positive feedback.
 यह सच में काफ़ी सूझबूझ भरा है,Praise,Encourage insight.
 तुम सबसे बुरे हो,Personal attack,Critique ideas only.
 मैं भी बिल्कुल यही सोच रहा था,Validation,Agreement is fine.
 तुम एक प्रेरणा हो,Praise,Positive reinforcement.
 क्या तुम और विवरण दे सकते हो?,Inquiry,Constructive question.
 बेहतरीन बात,Praise,Encouragement.
 किसी को तुम्हारी राय की परवाह नहीं है,Dismissive,Avoid dismissive tone.
 इस पोस्ट के लिए धन्यवाद,Appreciation,Polite appreciation.
 दिलचस्प दृष्टिकोण,Constructive,Neutral engagement.
 किसी को तुम्हारी राय की परवाह नहीं है,Dismissive,Respectful disagreement.
 तुम्हें और लिखना चाहिए,Suggestion,Encourage detail.
 मुझे यक़ीन नहीं होता कि लोग अब भी ऐसा सोचते हैं,Condescension,Express disbelief calmly.
 तुम सबसे बुरे हो,Personal attack,Avoid insults.
 अविश्वसनीय जानकारियाँ!,Praise,Positive reinforcement.
 साझा करने के लिए धन्यवाद,Appreciation,Polite engagement.
 किसी ने तुम्हारी राय नहीं मांगी,Dismissive,Avoid silencing language.
 व्याख्या की सराहना करता हूँ,Appreciation,Polite feedback.
 इसे पढ़कर मुझे अच्छा लगा,Appreciation,Positive engagement.
 क्या मज़ाक है,Mockery,State opinion respectfully.
 यह एक शानदार विचार है!,Praise,Encourage ideas.
 यह वास्तव में उपयोगी है,Positive feedback,Positive feedback.
 तुम एक प्रेरणा हो,Praise,Encouragement.
 तुम सबसे बुरे हो,Personal attack,Avoid personal attacks.
" दफा हो जाओ, ट्रोल",Harassment,Avoid harassment.
 यह वास्तव में उपयोगी है,Positive feedback,Positive reinforcement.
 यह बकवास है,Criticism,Constructive wording.
 शानदार!,Praise,Positive feedback.
 तुमने मेरा दिन बना दिया,Appreciation,Positive expression.
 तुम ज़रूर ट्रोल कर रहे हो,Accusation,Avoid accusations.
 तुम बहुत अज्ञानी हो,Insult,Avoid insults.
 तुम एक बेवकूफ हो,Insult,Respectful disagreement.
" धन्यवाद, यह सच में बहुत मददगार था",Appreciation,Positive feedback.
 मैं भी बिल्कुल यही सोच रहा था,Validation,Agreement is okay.
 तुम सबसे बुरे हो,Personal attack,Avoid personal attacks.
 शानदार काम!,Praise,Positive reinforcement.
यह वास्तव में उपयोगी है,Positive feedback,Encouraging feedback.
तुम्हारी टिप्पणी अप्रासंगिक है,Criticism,Encourage staying on-topic and constructive.
यह बकवास है,Criticism,Express disagreement without dismissive language.
 क्या मज़ाक है,Mockery,Avoid mocking; explain concerns instead.
 मुझे तुम्हारा सोचने का तरीका पसंद है,Praise,Positive reinforcement is fine.
 तुम खुद को शर्मिंदा कर रहे हो,Shaming,Avoid personal attacks.
 यह सच में उपयोगी है,Positive feedback,Acknowledge helpful content.
 जानकारी के लिए धन्यवाद,Appreciation,Polite appreciation.
" दफा हो जाओ, ट्रोल",Harassment,Avoid harassment or exclusion.
 तुम बहुत अज्ञानी हो,Insult,"Critique ideas, not people."
 यह दयनीय है,Insult,Use neutral emotional language.
 यह वाकई काफ़ी सकारात्मक था,Constructive feedback,Reinforce positive interaction.
 तुम बहुत अज्ञानी हो,Insult,Share perspective calmly.
 क्या यह मज़ाक है?,Mockery,Ask clarifying questions respectfully.
 शानदार!,Praise,Positive feedback is appropriate.
 किसी ने तुम्हारी राय नहीं मांगी,Dismissive,Avoid silencing language.
 तुम्हारी टिप्पणी अप्रासंगिक है,Criticism,Keep focus on subject.
 यह बकवास है,Criticism,State disagreement clearly.
 शानदार काम!,Praise,Encourage good work.
 बहुत सही कहा!,Praise,Acknowledge clarity.
 बेहतरीन स्पष्टीकरण,Praise,Positive engagement.
 यह बहुत ही बेवकूफी भरी पोस्ट है,Insult,Avoid insulting language.
" धन्यवाद, यह सच में बहुत मददगार था",Appreciation,Polite appreciation.
 यह जानकारीपूर्ण है,Informative feedback,Neutral positive feedback.
" दूर हो जाओ, ट्रोल",Harassment,No harassment.
 मुझे तुम्हारा सोचने का तरीका पसंद है,Praise,Positive reinforcement.
 समय की पूरी बर्बादी,Dismissive,Express dissatisfaction respectfully.
 यह दयनीय है,Insult,Avoid shaming.
" वाह, तुम कितने बेवकूफ हो",Insult,No personal insults.
 फ़ीडबैक के लिए धन्यवाद!,Polite response,Polite response.
 यह बहुत ही बेवकूफी भरी पोस्ट है,Insult,"Critique content, not author."
 किसे परवाह है?,Dismissive,Avoid dismissive tone.
" धन्यवाद, यह सच में बहुत मददगार था",Appreciation,Positive engagement.
 तुम्हें इसे पढ़ने के लिए कोई मजबूर नहीं कर रहा,Dismissive,De-escalate conflict.
 साझा करने के लिए धन्यवाद,Appreciation,Courteous response.
 किसे परवाह है?,Dismissive,Neutral phrasing.
 यह बहुत ही बेवकूफी भरी पोस्ट है,Insult,Respectful disagreement.
 बहुत सही कहा!,Praise,Positive feedback.
 तुम सबसे बुरे हो,Personal attack,Avoid extreme personal judgments.
" दफा हो जाओ, ट्रोल",Harassment,Set boundaries politely.
 बेहतरीन बात,Praise,Constructive acknowledgment.
" दफा हो जाओ, ट्रोल",Harassment,Avoid harassment.
 ऐसा सिर्फ़ कोई बेवकूफ ही कहेगा,Insult,No name-calling.
 कमाल की सामग्री!,Praise,Positive reinforcement.
 कृपया कुछ स्रोत दें,Request,Request evidence politely.
 मैं तुम्हारे काम की सराहना करता हूँ,Praise,Positive acknowledgment.
 समय की पूरी बर्बादी,Dismissive,Express dissatisfaction calmly.
 साझा करने के लिए धन्यवाद,Appreciation,Polite tone.
" धन्यवाद, यह सच में बहुत मददगार था",Appreciation,Encourage helpfulness.
 बेहतरीन बात,Praise,Constructive feedback.
 तुम्हें इंटरनेट छोड़ देना चाहिए,Harassment,Avoid exclusionary language.
 तुमने मेरा दिन बना दिया,Appreciation,Positive emotional feedback.
 यह दयनीय है,Insult,Neutral wording.
 किसे परवाह है?,Dismissive,Avoid dismissiveness.
 कितना बड़ा मूर्ख,Insult,No insults.
 यह सच में उपयोगी है,Positive feedback,Positive feedback.
 मैं भी बिल्कुल यही सोच रहा था,Validation,Agreement is fine.
 कृपया कुछ स्रोत दें,Request,Evidence-based discussion.
 तुम बेवकूफ लग रहे हो,Insult,Focus on content.
 अच्छा योगदान!,Praise,Encourage participation.
 इस पोस्ट के लिए धन्यवाद,Appreciation,Polite appreciation.
 तुम एक प्रेरणा हो,Praise,Positive affirmation.
 तुम एक बेवकूफ हो,Insult,Avoid personal attacks.
 तुम एक प्रेरणा हो,Praise,Positive feedback.
 व्याख्या की सराहना करता हूँ,Appreciation,Encourage clarity.
 शानदार!,Praise,Positive reinforcement.
 यह बहुत सूझबूझ भरा है,Praise,Acknowledge insight.
 क्या तुम विषय को समझते भी हो?,Condescension,Ask respectfully.
 इसे पढ़कर मुझे अच्छा लगा,Appreciation,Positive engagement.
 मुझे यक़ीन नहीं होता कि लोग अब भी ऐसा सोचते हैं,Condescension,Express surprise calmly.
 यह बहुत पसंद आया!,Praise,Positive feedback.
 व्याख्या की सराहना करता हूँ,Appreciation,Polite tone.
 यह सच में काफ़ी सूझबूझ भरा है,Praise,Encourage thoughtfulness.
यह दयनीय है,Insult,Neutral wording.
 समय की पूरी बर्बादी,Dismissive,Respectful criticism.
 तुम बहुत अज्ञानी हो,Insult,Avoid personal criticism.
 किसी ने तुम्हारी राय नहीं मांगी,Dismissive,Avoid silencing language.
 यह बहुत पसंद आया!,Praise,Positive reinforcement.
 तुम अभी तक ऑनलाइन क्यों हो?,Harassment,Avoid mocking tone.
 कृपया कुछ स्रोत दें,Request,Evidence-based request.
 यह कचरा है,Insult,Avoid harsh wording.
 किसे परवाह है?,Dismissive,Neutral phrasing.
 किसी ने तुम्हारी राय नहीं मांगी,Dismissive,Encourage inclusivity.
 जानकारी के लिए धन्यवाद,Appreciation,Polite appreciation.
" दूर हो जाओ, ट्रोल",Harassment,Set boundaries respectfully.
 मैं तुम्हारे काम की सराहना करता हूँ,Praise,Positive feedback.
 हास्यास्पद पोस्ट,Insult,Avoid ridicule.
 तुम्हारी टिप्पणी अप्रासंगिक है,Criticism,Keep discussion focused.
 तुम्हें इंटरनेट छोड़ देना चाहिए,Harassment,Avoid exclusion.
 तुम्हारी दलील का कोई मतलब नहीं है,Criticism,Ask for clarification.
 तुम्हारी दलील का कोई मतलब नहीं है,Criticism,Encourage clarity.
 ट्रोल करना बंद करो,Harassment,Promote respectful behavior.
 यह बहुत ही बेवकूफी भरी पोस्ट है,Insult,Avoid insults.
" वाह, तुम कितने बेवकूफ हो",Insult,No personal attacks.
 यह बहुत ही बेवकूफी भरी पोस्ट है,Insult,Respectful disagreement.
 तुम बेवकूफ लग रहे हो,Insult,Focus on ideas.
 फ़ीडबैक के लिए धन्यवाद!,Polite response,Polite response.
 तुम मूर्ख हो,Insult,Avoid name-calling.
 ट्रोल करना बंद करो,Harassment,Encourage civility.
 तुम एक बेवकूफ हो,Insult,No insults.
 शानदार काम!,Praise,Positive encouragement.
 बेहतरीन व्याख्या!,Praise,"Positive, constructive feedback"
"यहाँ से चले जाओ, ट्रोल",Harassment,Avoid harassment
तुम जरूर ट्रोल कर रहे हो,Accusation,Avoid accusations
क्या यह कोई मज़ाक है?,Mockery,Seek clarification politely
तुम बहुत अज्ञानी हो,Insult,Disagree without insults
यह बहुत मददगार है,Positive feedback,Positive feedback
कितना मूर्ख है,Insult,Avoid personal attacks
शेयर करने के लिए धन्यवाद,Appreciation,Polite acknowledgment
यह बहुत मददगार है,Positive feedback,Positive feedback
दिलचस्प दृष्टिकोण है,Constructive,Respectful disagreement
अच्छा योगदान!,Praise,Encouraging response
क्या आप और विवरण दे सकते हैं?,Inquiry,Ask for clarification
यह सच में रचनात्मक था,Constructive feedback,Positive feedback
तुम खुद को शर्मिंदा कर रहे हो,Shaming,Avoid shaming
शानदार!,Praise,Appreciation
यह जानकारीपूर्ण है,Informative feedback,Neutral-positive
किसी ने तुम्हारी राय नहीं माँगी,Dismissive,Avoid silencing others
यह पोस्ट बेकार है,Dismissive,Constructive criticism
मुझे तुम्हारा सोचने का तरीका पसंद है,Praise,Positive reinforcement
बहुत अच्छा बिंदु,Praise,Agreement
यह जानकारीपूर्ण है,Informative feedback,Neutral-positive
शेयर करने के लिए धन्यवाद,Appreciation,Polite response
मुझे यकीन नहीं होता कि लोग अब भी ऐसा सोचते हैं,Condescension,Express disagreement calmly
इस पोस्ट के लिए धन्यवाद,Appreciation,Appreciation
बहुत अच्छा बिंदु,Praise,Agreement
मुझे यकीन नहीं होता कि लोग अब भी ऐसा सोचते हैं,Condescension,Non-hostile disagreement
यह कचरा है,Insult,Avoid abusive language
इसने मेरा दिन बना दिया,Appreciation,Positive emotional feedback
क्या आप और विवरण दे सकते हैं?,Inquiry,Clarification request
जानकारी देने के लिए धन्यवाद,Appreciation,Appreciation
तुम्हारी दलील का कोई मतलब नहीं है,Criticism,"Critique ideas, not people"
किसी ने तुम्हारी राय नहीं माँगी,Dismissive,Respect free expression
यह बहुत सूझबूझ भरा है,Praise,Appreciation
शानदार व्याख्या!,Praise,Positive feedback
यह बहुत सूझबूझ भरा है,Praise,Appreciation
यह सच में रचनात्मक था,Constructive feedback,Encouragement
फीडबैक के लिए धन्यवाद!,Polite response,Polite response
तुम जरूर ट्रोल कर रहे हो,Accusation,Avoid accusations
क्या आप इसे और समझा सकते हैं?,Inquiry,Clarification
शानदार कंटेंट!,Praise,Positive feedback
यह बकवास है,Criticism,Disagree respectfully
शानदार व्याख्या!,Praise,Positive feedback
शेयर करने के लिए धन्यवाद,Appreciation,Polite response
बकवास पोस्ट करना बंद करो,Hostile dismissal,Encourage civility
यह सच में उपयोगी है,Positive feedback,Positive feedback
तुम्हें और लिखना चाहिए,Suggestion,Suggest improvement
कितना मूर्ख है,Insult,Avoid insults
बहुत बढ़िया काम!,Praise,Encouragement
"यहाँ से चले जाओ, ट्रोल",Harassment,Avoid harassment
तुम एक प्रेरणा हो,Praise,Positive reinforcement
यह बकवास है,Criticism,Respectful disagreement
बकवास पोस्ट करना बंद करो,Hostile dismissal,Civility reminder
रोचक दृष्टिकोण,Positive feedback,Respectful engagement
शानदार कंटेंट!,Praise,Positive feedback
इस पोस्ट के लिए धन्यवाद,Appreciation,Appreciation
यह बहुत मददगार है,Positive feedback,Positive feedback
यह बहुत मददगार है,Positive feedback,Positive feedback
रोचक दृष्टिकोण,Positive feedback,Open-minded response
मैं भी यही सोच रहा/रही था,Validation,Agreement
यह अब तक की सबसे बेवकूफी भरी चीज़ है जो मैंने पढ़ी है,Extreme insult,Avoid insults
तुम सबसे खराब हो,Personal attack,Avoid personal attacks
शानदार व्याख्या!,Praise,Appreciation
कितना बड़ा मज़ाक है,Mockery,Polite disagreement
हमारा समय बर्बाद करना बंद करो,Hostile dismissal,Civility reminder
तुम ऐसा क्यों कहोगे?,Condescension,Ask respectfully
ट्रोल करना बंद करो,Harassment,Encourage focus
"वाह, तुम कितने बेवकूफ हो",Insult,Avoid insults
ट्रोल करना बंद करो,Harassment,Civility
फीडबैक के लिए धन्यवाद!,Polite response,Polite response
तुम एक बेवकूफ हो,Insult,Avoid abuse
शेयर करने के लिए धन्यवाद,Appreciation,Polite response
मुझे तुम्हारा सोचने का तरीका पसंद है,Praise,Appreciation
किसी को तुम्हारी राय की परवाह नहीं है,Dismissive,Respect others
यह सच में काफ़ी सूझबूझ भरा है,Praise,Appreciation
रोचक दृष्टिकोण,Positive feedback,Respectful engagement
मुझे यकीन नहीं होता कि लोग अब भी ऐसा सोचते हैं,Condescension,Calm disagreement
मैं भी यही सोच रहा/रही था,Validation,Agreement
तुम अब भी ऑनलाइन क्यों हो?,Harassment,Avoid personal remarks
यह बहुत पसंद आया!,Praise,Positive feedback
यह बहुत पसंद आया!,Praise,Positive feedback
बहुत बढ़िया स्पष्टीकरण,Praise,Appreciation
शानदार व्याख्या!,Praise,Positive feedback
बहुत बढ़िया स्पष्टीकरण,Praise,Appreciation
दिलचस्प दृष्टिकोण,Constructive,Neutral-positive
यह पोस्ट बेकार है,Dismissive,Constructive critique
तुम सबसे खराब हो,Personal attack,Avoid insults
क्या आप और विवरण दे सकते हैं?,Inquiry,Clarification
रोचक दृष्टिकोण,Positive feedback,Respectful response
यह बकवास है,Criticism,Calm disagreement
कितना मूर्ख है,Insult,Avoid insults
यह पोस्ट बेकार है,Dismissive,Constructive feedback
यह बहुत सूझबूझ भरा है,Praise,Appreciation
कितना बड़ा मज़ाक है,Mockery,Respectful disagreement
बहुत अच्छा बिंदु,Praise,Agreement
यह पोस्ट बेकार है,Dismissive,Constructive critique
क्या आप इसे और समझा सकते हैं?,Inquiry,Clarification
यह बहुत सूझबूझ भरा है,Praise,Appreciation
बहुत बढ़िया काम!,Praise,Encouragement
यह सच में काफ़ी सूझबूझ भरा है,Praise,Appreciation
किसे परवाह है?,Dismissive,Avoid dismissive language
यह बहुत सूझबूझ भरा है,Appreciation,Express appreciation respectfully
 तुम बहुत अज्ञानी हो,Insult,"Criticize ideas, not people"
 यह बहुत मददगार है,Appreciation,Positive feedback is encouraged
 तुम बेवकूफ लग रहे हो,Insult,Avoid personal insults
 इस पोस्ट के लिए धन्यवाद,Appreciation,Gratitude is positive
 मैं तुम्हारे काम की सराहना करता हूँ,Appreciation,Appreciation builds healthy discussion
 बेहतरीन बात,Praise,Constructive agreement
 इसने मेरा दिन बना दिया,Appreciation,Positive emotional expression
 यह बहुत बढ़िया विचार है!,Praise,Encouraging creativity
 क्या आप और विवरण दे सकते हैं?,Inquiry,Ask politely for clarification
 तुमने मेरा दिन बना दिया,Appreciation,Positive engagement
 मैं भी बिल्कुल यही सोच रहा था,Agreement,Agreement without hostility
 तुम खुद को शर्मिंदा कर रहे हो,Insult,Avoid shaming language
 शानदार काम!,Praise,Encouraging feedback
 तुम एक प्रेरणा हो,Praise,Positive reinforcement
 बकवास पोस्ट करना बंद करो,Harassment,Express disagreement calmly
" दूर हो जाओ, ट्रोल",Trolling,Avoid harassment
 तुम्हारी दलील का कोई मतलब नहीं है,Criticism,Critique content respectfully
 कमाल की सामग्री!,Praise,Positive engagement
 यह जानकारीपूर्ण है,Informational,Neutral positive feedback
 व्याख्या की सराहना करता हूँ,Appreciation,Polite acknowledgment
 शानदार!,Praise,Encouraging tone
 हमारा समय बर्बाद करना बंद करो,Harassment,Avoid aggressive phrasing
 तुम सबसे बुरे हो,Insult,Avoid personal attacks
 बहुत रोचक दृष्टिकोण,Appreciation,Open-minded response
 इसी तरह शानदार काम करते रहो,Encouragement,Encouragement
 क्या आप इसे और विस्तार से समझा सकते हैं?,Inquiry,Polite questioning
 बेहतरीन व्याख्या!,Praise,Positive feedback
 तुम्हें इसे पढ़ने के लिए कोई मजबूर नहीं कर रहा,Defensive,Avoid provocation
 इसे पढ़कर मुझे अच्छा लगा,Appreciation,Positive response
 बेहतरीन व्याख्या!,Praise,Encouraging tone
 यह बहुत बढ़िया विचार है!,Praise,Constructive praise
 कमाल की सामग्री!,Praise,Positive feedback
 किसी को तुम्हारी राय की परवाह नहीं है,Harassment,Respect differing views
 यह बहुत सूझबूझ भरा है,Appreciation,Polite appreciation
 मैं भी बिल्कुल यही सोच रहा था,Agreement,Agreement
" दूर हो जाओ, ट्रोल",Trolling,Avoid harassment
 क्या यह मज़ाक है?,Mocking,Avoid mockery
 बेहतरीन स्पष्टीकरण,Praise,Constructive feedback
 यह सच में काफ़ी सूझबूझ भरा है,Appreciation,Positive reinforcement
 बहुत सही कहा!,Praise,Encouragement
 बेहतरीन स्पष्टीकरण,Praise,Positive engagement
 किसी ने तुम्हारी राय नहीं मांगी,Harassment,Avoid silencing language
 शानदार काम!,Praise,Encouraging feedback
 अच्छा योगदान!,Praise,Constructive praise
 यह बहुत पसंद आया!,Appreciation,Positive emotion
 फ़ीडबैक के लिए धन्यवाद!,Neutral,Polite acknowledgment
 क्या आप और विवरण दे सकते हैं?,Inquiry,Respectful inquiry
 शानदार अंतर्दृष्टि!,Praise,Encouraging feedback
 कृपया कुछ स्रोत दें,Constructive,Polite request
 तुम्हें इसे पढ़ने के लिए कोई मजबूर नहीं कर रहा,Defensive,De-escalation
 शानदार अंतर्दृष्टि!,Praise,Positive tone
 ऐसा सिर्फ़ कोई बेवकूफ ही कहेगा,Abusive,Avoid insults
 तुम्हें और लिखना चाहिए,Encouragement,Encouragement
" धन्यवाद, यह सच में बहुत मददगार था",Appreciation,Gratitude
 कमाल की सामग्री!,Praise,Positive engagement
 तुम सबसे बुरे हो,Insult,Avoid abusive language
 यह बहुत सूझबूझ भरा है,Appreciation,Constructive feedback
 मुझे तुम्हारा सोचने का तरीका पसंद है,Praise,Positive engagement
" दूर हो जाओ, ट्रोल",Trolling,Avoid harassment
 शानदार अंतर्दृष्टि!,Praise,Positive reinforcement
